1.240366467354719816e+03,3.323029650707014298e+03,3.714793233238419361e+03,3.852682510924729741e+03,3.740262651282064326e+03
2.293319555425449380e+03,3.471696494837265163e+03,3.771171480609652463e+03,3.837069966540176210e+03,3.587072366786863768e+03
2.880254183602110515e+03,3.583501285007667775e+03,3.806753801877660862e+03,3.779465152226297960e+03,3.363909699624772202e+03
3.186438299454376192e+03,3.669110542816114503e+03,3.818037113374517048e+03,3.662927924803227143e+03,3.066927023098924110e+03
3.379747687468081040e+03,3.732398699821975697e+03,3.793732654596633438e+03,3.473137475138962145e+03,2.690482752777368660e+03
3.516600446562806610e+03,3.771121250187954502e+03,3.716785929286173541e+03,3.201618102896163236e+03,2.237402794087683105e+03
3.617540751294987786e+03,3.779490755214482760e+03,3.566794628215479861e+03,2.843708874824770191e+03,1.763151142063534508e+03
3.689828410900241124e+03,3.742935720129997208e+03,3.329319636660079141e+03,2.394989750917598030e+03,1.614494935276010438e+03
3.732578439780333156e+03,3.639290653802385805e+03,2.997172415519251444e+03,1.880354996993470877e+03,1.517349364696552129e+03
3.735792165293913513e+03,3.445416672830563584e+03,2.561454622381177614e+03,1.561580867522561675e+03,1.433895346417824385e+03
3.681534324636934798e+03,3.147026176541372024e+03,2.035443707653702859e+03,1.455405600571446030e+03,1.359246022966221972e+03
3.540636882035032158e+03,2.734269070419946729e+03,1.542615545389196086e+03,1.369282613737161000e+03,1.290430558183950779e+03
3.287620040167307252e+03,2.206676980075547363e+03,1.397858847301265087e+03,1.293778959500717065e+03,1.225538527928652911e+03
2.908640874108486514e+03,1.617983809316330053e+03,1.309407879118156416e+03,1.225183572682944941e+03,1.161989274694551796e+03
2.392089292691589435e+03,1.361380892017046335e+03,1.236131662863541123e+03,1.160883836494276920e+03,1.091243594201931728e+03
